"st_id","st_day","st_start","st_high","st_low","st_close","st_before","st_trade","st_money"
"A005930","2018-01-02","51380","51400","50780","51020","60","8474250","432677000000"
"A005930","2018-01-03","52540","52560","51420","51620","600","10013500","518346000000"
"A005930","2018-01-04","52120","52180","50640","51080","-540","11695450","600532000000"
"A005930","2018-01-05","51300","52120","51200","52120","1040","9481150","490793000000"
"A005930","2018-01-08","52400","52520","51500","52020","-100","8383650","435974000000"
"A005930","2018-01-09","51460","51720","49980","50400","-1620","18013600","915580000000"
"A005930","2018-01-10","50500","50520","48640","48840","-1560","18566800","913423000000"
"A005930","2018-01-11","48200","49260","48020","48240","-600","25123800","1216611000000"
"A005930","2018-01-12","48240","48480","46760","48200","-40","27270450","1294609000000"
"A005930","2018-01-15","48800","48980","47920","48540","340","10096000","490175000000"
"A005930","2018-01-16","48760","50140","48620","50000","1460","20389650","1006208000000"
"A005930","2018-01-17","50020","50020","49060","49620","-380","11053050","548605000000"
"A005930","2018-01-18","50020","50640","49820","49900","280","14848850","745730000000"
"A005930","2018-01-19","50380","50380","49040","49320","-580","9219950","456633000000"
"A005930","2018-01-22","48640","48680","47960","48240","-1080","12520900","603095000000"
"A005930","2018-01-23","48660","49160","48300","49160","920","13532700","660111000000"
"A005930","2018-01-24","48860","49700","48560","49340","180","9550500","470754000000"
"A005930","2018-01-25","49220","50360","49160","50260","920","11160350","556833000000"
"A005930","2018-01-26","50500","50780","49840","50780","520","10350100","522485000000"
"A005930","2018-01-29","51200","51480","50900","51220","440","11838800","606586000000"
"A005930","2018-01-30","50440","50640","49780","49800","-1420","12284550","616154000000"
"A005930","2018-01-31","50020","54140","49600","49900","100","64681300","3351453000000"
"A005930","2018-02-01","50620","50960","49720","49820","-80","27609450","1385573000000"
"A005930","2018-02-02","49380","49400","47700","47700","-2120","29260350","1408721000000"
"A005930","2018-02-05","46500","48320","46000","47920","220","28357900","1333663000000"
"A005930","2018-02-06","46600","47920","46580","47420","-500","19406450","913940000000"
"A005930","2018-02-07","48240","48260","45800","45800","-1620","23448050","1097891000000"
"A005930","2018-02-08","46120","46620","45980","46000","200","23251050","1075498000000"
"A005930","2018-02-09","44440","45180","44420","44700","-1300","17465000","780791000000"
"A005930","2018-02-12","45100","46320","45040","45720","1020","15754950","719931000000"
"A005930","2018-02-13","46200","48060","46200","47540","1820","18923250","896531000000"
"A005930","2018-02-14","48080","49100","47940","49000","1460","18905900","922638000000"
"A005930","2018-02-19","49800","49800","47860","48380","-620","15353450","746463000000"
"A005930","2018-02-20","48040","48160","47220","47400","-980","10122600","481058000000"
"A005930","2018-02-21","47280","47580","46840","47280","-120","12880200","607523000000"
"A005930","2018-02-22","47260","47260","46760","46760","-520","8869950","416553000000"
"A005930","2018-02-23","46760","47800","46760","47220","460","12423300","587289000000"
"A005930","2018-02-26","47280","47560","47080","47380","160","9560650","452022000000"
"A005930","2018-02-27","48360","48380","47380","47380","0","9830550","470191000000"
"A005930","2018-02-28","47380","48100","47000","47060","-320","15162350","718972000000"
"A005930","2018-03-02","46580","46800","46000","46020","-1040","13265500","613079000000"
"A005930","2018-03-05","45820","46160","45080","45200","-820","14100950","639638000000"
"A005930","2018-03-06","45920","47100","45820","47020","1820","15423350","719308000000"
"A005930","2018-03-07","48200","48900","47220","48620","1600","21427050","1036655000000"
"A005930","2018-03-08","49200","49480","48080","49200","580","19463650","952844000000"
"A005930","2018-03-09","49440","50540","49240","49740","540","14304400","714233000000"
"A005930","2018-03-12","50560","50780","49580","49740","0","8688950","434749000000"
"A005930","2018-03-13","50760","51660","50360","51660","1920","20098700","1025227000000"
"A005930","2018-03-14","51020","52000","51000","51760","100","12713250","655032000000"
"A005930","2018-03-15","52000","52020","51020","51540","-220","8882450","458294000000"
"A005930","2018-03-16","51220","51420","50240","51140","-400","12184900","618931000000"
"A005930","2018-03-19","50620","51340","50440","50740","-400","8218850","417387000000"
"A005930","2018-03-20","50700","51200","50100","51200","460","8193250","414791000000"
"A005930","2018-03-21","51780","51780","51060","51060","-140","8905200","456127000000"
"A005930","2018-03-22","51060","51780","51040","51780","720","8454100","434966000000"
"A005930","2018-03-23","50340","50720","49600","49720","-2060","14854950","745226000000"
"A005930","2018-03-26","49420","50280","49040","50280","560","10057750","500546000000"
"A005930","2018-03-27","50320","50460","49080","49980","-300","11874000","591916000000"
"A005930","2018-03-28","49100","49100","48340","48700","-1280","15159450","737579000000"
"A005930","2018-03-29","48700","49560","48320","49040","340","10067000","492355000000"
"A005930","2018-03-30","49080","49900","49080","49220","180","7777100","385610000000"
"A005930","2018-04-02","49000","49220","48500","48540","-680","7115650","346383000000"
"A005930","2018-04-03","47880","48140","47280","48120","-420","12768250","609109000000"
"A005930","2018-04-04","48160","48260","46920","46920","-1200","12384200","586682000000"
"A005930","2018-04-05","47400","49380","47340","48740","1820","13245600","642625000000"
"A005930","2018-04-06","48000","48580","47400","48400","-340","12532700","603211000000"
"A005930","2018-04-09","48260","49440","48200","49200","800","9950400","488396000000"
"A005930","2018-04-10","48540","49220","48040","48880","-320","10984350","534757000000"
"A005930","2018-04-11","49900","49900","48600","48860","-20","10051100","495246000000"
"A005930","2018-04-12","49440","49440","48880","49000","140","12466250","612211000000"
"A005930","2018-04-13","49600","50180","49400","49800","800","10278300","512556000000"
"A005930","2018-04-16","50320","50600","49860","50340","540","7877450","396053000000"
"A005930","2018-04-17","50240","50540","49820","49980","-360","7772000","389066000000"
"A005930","2018-04-18","51000","51360","50580","51360","1380","13462600","689012000000"
"A005930","2018-04-19","52000","52980","51540","52780","1420","17190550","901505000000"
"A005930","2018-04-20","51800","52260","51420","51620","-1160","11761000","609152000000"
"A005930","2018-04-23","51000","52080","51000","51900","280","11619000","600825000000"
"A005930","2018-04-24","51840","51860","50080","50460","-1440","15770300","799556000000"
"A005930","2018-04-25","49220","50500","49220","50400","-60","16614600","826566000000"
"A005930","2018-04-26","50420","52160","50400","52140","1740","18046550","931526000000"
"A005930","2018-04-27","53380","53640","52440","53000","860","30310800","1611240000000"
"A005930","2018-04-30","53000","53000","53000","53000","0","0","0"
"A005930","2018-05-02","53000","53000","53000","53000","0","0","0"
"A005930","2018-05-03","53000","53000","53000","53000","0","0","0"
"A005930","2018-05-04","53000","53900","51800","51900","-1100","39565391","2078018000000"
"A005930","2018-05-08","52600","53200","51900","52600","700","23104720","1218273000000"
"A005930","2018-05-09","52600","52800","50900","50900","-1700","16128305","831372000000"
"A005930","2018-05-10","51700","51700","50600","51600","700","13905263","712206000000"
"A005930","2018-05-11","52000","52200","51200","51300","-300","10314997","533765000000"
"A005930","2018-05-14","51000","51100","49900","50100","-1200","14909272","749532000000"
"A005930","2018-05-15","50200","50400","49100","49200","-900","18709146","925775000000"
"A005930","2018-05-16","49200","50200","49150","49850","650","15918683","792346000000"
"A005930","2018-05-17","50300","50500","49400","49400","-450","10365440","515599000000"
"A005930","2018-05-18","49900","49900","49350","49500","100","6706570","332487000000"
"A005930","2018-05-21","49650","50200","49100","50000","500","9020998","449245000000"
"A005930","2018-05-23","50600","52000","50400","51800","1800","17095490","878627000000"
"A005930","2018-05-24","52000","52000","51100","51400","-400","8289275","426264000000"
"A005930","2018-05-25","51000","52800","50800","52700","1300","15207266","795151000000"
"A005930","2018-05-28","52500","53000","52000","52300","-400","9787820","513194000000"
"A005930","2018-05-29","52200","52500","51300","51300","-1000","8480437","437715000000"
"A005930","2018-05-30","51300","51500","49100","49500","-1800","20498098","1026413000000"
"A005930","2018-05-31","50400","50800","49850","50700","1200","63491109","3160206000000"
"A005930","2018-06-01","50500","51700","49950","51300","600","13038499","665063000000"
"A005930","2018-06-04","50800","51200","50700","51100","-200","9767171","498094000000"
"A005930","2018-06-05","51100","51400","50400","51300","200","9144100","465525000000"
"A005930","2018-06-07","51800","51800","50500","50600","-700","13590016","692916000000"
"A005930","2018-06-08","50200","50400","49600","49650","-950","16951706","845303000000"
"A005930","2018-06-11","49750","50300","49350","49900","250","10571312","526740000000"
"A005930","2018-06-12","49700","49800","49250","49400","-500","12110569","598929000000"
"A005930","2018-06-14","49000","49000","48200","48200","-1200","20971729","1015091000000"
"A005930","2018-06-15","48500","48700","47650","47650","-550","17080892","819653000000"
"A005930","2018-06-18","47600","47650","46200","46600","-1050","16661870","776902000000"
"A005930","2018-06-19","47200","47350","46500","47000","400","15217971","715277000000"
"A005930","2018-06-20","47450","47600","46850","47000","0","12959316","611840000000"
"A005930","2018-06-21","47900","47900","47050","47050","50","10015541","474358000000"
